datum;ags;Bezirk-Nr;Bezirk-Name;Bezirk-Art;Wahlraum-Bezeichnung;Wahlraum-Adresse;Wahlraum-Barrierefrei;Wahlraum-Barrierefrei-Ergaenzung
17.09.2023;06413000;44;00044 - IGS Lindenfeld (ehem. Bachschule);W;IGS Lindenfeld (ehem. Bachschule);Friedensstraße 81, 63071 Offenbach am Main;nein;
17.09.2023;06413000;45;00045 - IGS Lindenfeld (ehem. Bachschule);W;IGS Lindenfeld (ehem. Bachschule);Friedensstraße 81, 63071 Offenbach am Main;nein;
17.09.2023;06413000;46;00046 - IGS Lindenfeld (ehem. Bachschule);W;IGS Lindenfeld (ehem. Bachschule);Friedensstraße 81, 63071 Offenbach am Main;nein;
17.09.2023;06413000;47;00047 - IGS Lindenfeld (ehem. Bachschule);W;IGS Lindenfeld (ehem. Bachschule);Friedensstraße 81, 63071 Offenbach am Main;nein;
17.09.2023;06413000;48;00048 - IGS Lindenfeld (ehem. Bachschule);W;IGS Lindenfeld (ehem. Bachschule);Friedensstraße 81, 63071 Offenbach am Main;nein;
17.09.2023;06413000;49;00049 - Eigenbetrieb der Stadt Offenbach;W;Eigenbetrieb Stadt Offenbach (ESO);Daimlerstraße 8, 63071 Offenbach am Main;ja;
17.09.2023;06413000;50;00050 - Eigenbetrieb der Stadt Offenbach;W;Eigenbetrieb Stadt Offenbach (ESO);Daimlerstraße 8, 63071 Offenbach am Main;ja;
17.09.2023;06413000;51;00051 - Anne-Frank-Schule;W;Anne-Frank-Schule;Eberhard-von-Rochow-Straße 43, 63069 Offenbach am Main;ja;
17.09.2023;06413000;52;00052 - Anne-Frank-Schule;W;Anne-Frank-Schule;Eberhard-von-Rochow-Straße 43, 63069 Offenbach am Main;ja;
17.09.2023;06413000;53;00053 - Anne-Frank-Schule;W;Anne-Frank-Schule;Eberhard-von-Rochow-Straße 43, 63069 Offenbach am Main;ja;
17.09.2023;06413000;54;00054 - Waldschule Tempelsee;W;Waldschule Tempelsee;Brunnenweg 105, 63071 Offenbach am Main;ja;
17.09.2023;06413000;55;00055 - Waldschule Tempelsee;W;Waldschule Tempelsee;Brunnenweg 105, 63071 Offenbach am Main;ja;
17.09.2023;06413000;56;00056 - Waldschule Tempelsee;W;Waldschule Tempelsee;Brunnenweg 105, 63071 Offenbach am Main;ja;
17.09.2023;06413000;57;00057 - Geschwister-Scholl-Schule;W;Geschwister-Scholl-Schule;Erich-Ollenhauer-Straße 1, 63073 Offenbach am Main;ja;
17.09.2023;06413000;58;00058 - Geschwister-Scholl-Schule;W;Geschwister-Scholl-Schule;Erich-Ollenhauer-Straße 1, 63073 Offenbach am Main;ja;
17.09.2023;06413000;59;00059 - Schule Bieber;W;Schule Bieber;Mauerfeldstraße 4, 63073 Offenbach am Main;nein;
17.09.2023;06413000;60;00060 - Geschwister-Scholl-Schule;W;Geschwister-Scholl-Schule;Erich-Ollenhauer-Straße 1, 63073 Offenbach am Main;ja;
17.09.2023;06413000;61;00061 - Schule Bieber;W;Schule Bieber;Mauerfeldstraße 4, 63073 Offenbach am Main;nein;
17.09.2023;06413000;62;00062 - Schule Bieber;W;Schule Bieber;Mauerfeldstraße 4, 63073 Offenbach am Main;nein;
17.09.2023;06413000;63;00063 - Geschwister-Scholl-Schule;W;Geschwister-Scholl-Schule;Erich-Ollenhauer-Straße 1, 63073 Offenbach am Main;ja;
17.09.2023;06413000;64;00064 - Schule Bieber;W;Schule Bieber;Mauerfeldstraße 4, 63073 Offenbach am Main;nein;
17.09.2023;06413000;65;00065 - Schule Bieber-Waldhof;W;Schule Bieber-Waldhof;Ottersfuhrstraße 8, 63073 Offenbach am Main;ja;
17.09.2023;06413000;66;00066 - Schule Bieber-Waldhof;W;Schule Bieber-Waldhof;Ottersfuhrstraße 8, 63073 Offenbach am Main;ja;
17.09.2023;06413000;67;00067 - Friedrich-Ebert-Schule;W;Friedrich-Ebert-Schule;Am Wiesengrund 43, 63075 Offenbach am Main;ja;
17.09.2023;06413000;68;00068 - Friedrich-Ebert-Schule;W;Friedrich-Ebert-Schule;Am Wiesengrund 43, 63075 Offenbach am Main;ja;
17.09.2023;06413000;69;00069 - Uhlandschule;W;Uhlandschule;Stiftstraße 25, 63075 Offenbach am Main;nein;
17.09.2023;06413000;70;00070 - Ernst-Reuter-Schule;W;Ernst-Reuter-Schule;Bürgeler Straße 60, 63075 Offenbach am Main;ja;
17.09.2023;06413000;71;00071 - Uhlandschule;W;Uhlandschule;Stiftstraße 25, 63075 Offenbach am Main;nein;
17.09.2023;06413000;72;00072 - Uhlandschule;W;Uhlandschule;Stiftstraße 25, 63075 Offenbach am Main;nein;
17.09.2023;06413000;73;00073 - Uhlandschule;W;Uhlandschule;Stiftstraße 25, 63075 Offenbach am Main;nein;
17.09.2023;06413000;74;00074 - Uhlandschule;W;Uhlandschule;Stiftstraße 25, 63075 Offenbach am Main;nein;
17.09.2023;06413000;75;00075 - Uhlandschule;W;Uhlandschule;Stiftstraße 25, 63075 Offenbach am Main;nein;
17.09.2023;06413000;76;00076 - Ernst-Reuter-Schule;W;Ernst-Reuter-Schule;Bürgeler Straße 60, 63075 Offenbach am Main;ja;
17.09.2023;06413000;77;00077 - Ernst-Reuter-Schule;W;Ernst-Reuter-Schule;Bürgeler Straße 60, 63075 Offenbach am Main;ja;
17.09.2023;06413000;78;00078 - Ernst-Reuter-Schule;W;Ernst-Reuter-Schule;Bürgeler Straße 60, 63075 Offenbach am Main;ja;
17.09.2023;06413000;79;00079 - Ernst-Reuter-Schule;W;Ernst-Reuter-Schule;Bürgeler Straße 60, 63075 Offenbach am Main;ja;
17.09.2023;06413000;91001;91001 - Briefwahlbezirk 1;B;Rathaus;Stadthof 15, 63065 Offenbach am Main;ja;
17.09.2023;06413000;91002;91002 - Briefwahlbezirk 2;B;Rathaus;Stadthof 15, 63065 Offenbach am Main;ja;
17.09.2023;06413000;91003;91003 - Briefwahlbezirk 3;B;Rathaus;Stadthof 15, 63065 Offenbach am Main;ja;
17.09.2023;06413000;91004;91004 - Briefwahlbezirk 4;B;Rathaus;Stadthof 15, 63065 Offenbach am Main;ja;
17.09.2023;06413000;91005;91005 - Briefwahlbezirk 5;B;Rathaus;Stadthof 15, 63065 Offenbach am Main;ja;
17.09.2023;06413000;91006;91006 - Briefwahlbezirk 6;B;Rathaus;Stadthof 15, 63065 Offenbach am Main;ja;
17.09.2023;06413000;91007;91007 - Briefwahlbezirk 7;B;Rathaus;Stadthof 15, 63065 Offenbach am Main;ja;
17.09.2023;06413000;91008;91008 - Briefwahlbezirk 8;B;Rathaus;Stadthof 15, 63065 Offenbach am Main;ja;
17.09.2023;06413000;91009;91009 - Briefwahlbezirk 9;B;Rathaus;Stadthof 15, 63065 Offenbach am Main;ja;
17.09.2023;06413000;91010;91010 - Briefwahlbezirk 10;B;Rathaus;Stadthof 15, 63065 Offenbach am Main;ja;
17.09.2023;06413000;91011;91011 - Briefwahlbezirk 11;B;Rathaus;Stadthof 15, 63065 Offenbach am Main;ja;
17.09.2023;06413000;91012;91012 - Briefwahlbezirk 12;B;Rathaus;Stadthof 15, 63065 Offenbach am Main;ja;
17.09.2023;06413000;91013;91013 - Briefwahlbezirk 13;B;Rathaus;Stadthof 15, 63065 Offenbach am Main;ja;
17.09.2023;06413000;91014;91014 - Briefwahlbezirk 14;B;Rathaus;Stadthof 15, 63065 Offenbach am Main;ja;
17.09.2023;06413000;91015;91015 - Briefwahlbezirk 15;B;Rathaus;Stadthof 15, 63065 Offenbach am Main;ja;
17.09.2023;06413000;91016;91016 - Briefwahlbezirk 16;B;Rathaus;Stadthof 15, 63065 Offenbach am Main;ja;
17.09.2023;06413000;91017;91017 - Briefwahlbezirk 17;B;Rathaus;Stadthof 15, 63065 Offenbach am Main;ja;
17.09.2023;06413000;91018;91018 - Briefwahlbezirk 18;B;Rathaus;Stadthof 15, 63065 Offenbach am Main;ja;
17.09.2023;06413000;91019;91019 - Briefwahlbezirk 19;B;Rathaus;Stadthof 15, 63065 Offenbach am Main;ja;
17.09.2023;06413000;91020;91020 - Briefwahlbezirk 20;B;Rathaus;Stadthof 15, 63065 Offenbach am Main;ja;
17.09.2023;06413000;91021;91021 - Briefwahlbezirk 21;B;Rathaus;Stadthof 15, 63065 Offenbach am Main;ja;
17.09.2023;06413000;91022;91022 - Briefwahlbezirk 22;B;Rathaus;Stadthof 15, 63065 Offenbach am Main;ja;
17.09.2023;06413000;91023;91023 - Briefwahlbezirk 23;B;Rathaus;Stadthof 15, 63065 Offenbach am Main;ja;
17.09.2023;06413000;91024;91024 - Briefwahlbezirk 24;B;Rathaus;Stadthof 15, 63065 Offenbach am Main;ja;
